distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
13644.82,160,27,2023-06-19 11:41:36,0.0,86.0,37.39999999999998,7.791,39.845010777935386,116.43278880044818,0.0,1.0,-0.26099999999999923,0.0
13652.25,160,27,2023-06-19 11:41:37,0.0,86.0,37.799999999999955,7.287,39.844943303614855,116.43279030919075,5.383580080753184,1.0,-0.5040000000000004,0.0
13659.92,159,27,2023-06-19 11:41:38,0.0,0.0,37.799999999999955,6.923,39.84488446265459,116.43278318457305,0.0,1.0,-0.3639999999999999,0.0
13666.74,159,27,2023-06-19 11:41:39,0.0,0.0,38.0,6.158,39.84483123756945,116.4327753894031,2.9325513196488857,1.0,-0.7649999999999997,0.0
13672.7,159,27,2023-06-19 11:41:40,0.0,0.0,38.200000000000045,5.729,39.844785975292325,116.4327740482986,3.3557046979868077,1.0,-0.42900000000000027,0.0
13677.53,158,27,2023-06-19 11:41:41,0.0,0.0,38.39999999999998,4.936,39.844744903966784,116.43277170136571,4.140786749481052,1.0,-0.7930000000000001,0.0
13682.38,158,27,2023-06-19 11:41:42,0.0,0.0,38.60000000000002,4.059,39.84471489675343,116.43277186900377,4.12371134020836,1.0,-0.8769999999999998,0.0
13685.95,158,27,2023-06-19 11:41:43,0.0,0.0,38.60000000000002,3.228,39.8446870688349,116.43276767805219,0.0,1.0,-0.831,0.0
13688.68,158,27,2023-06-19 11:41:44,0.0,0.0,38.799999999999955,3.079,39.844662845134735,116.43275066278875,7.326007326005998,1.0,-0.14900000000000002,0.0
13691.75,158,27,2023-06-19 11:41:45,0.0,0.0,38.799999999999955,3.06,39.84464541077614,116.43272954039276,0.0,1.0,-0.019000000000000128,0.0
13694.32,158,27,2023-06-19 11:41:46,0.0,0.0,38.799999999999955,2.958,39.84462873078883,116.43270934000611,0.0,1.0,-0.10199999999999987,0.0
13696.87,157,27,2023-06-19 11:41:47,0.0,0.0,38.799999999999955,2.781,39.84461029060185,116.43268411047757,0.0,1.0,-0.17700000000000005,0.0
13699.82,157,27,2023-06-19 11:41:48,0.0,0.0,38.799999999999955,3.21,39.84459771774709,116.43264572136104,0.0,1.0,0.4289999999999998,0.0
13703.29,157,27,2023-06-19 11:41:49,0.0,0.0,38.799999999999955,3.807,39.84459076076746,116.43259995616972,0.0,1.0,0.597,0.0
